preference	users	Project	Project_Type
gadget--Blackskin	2	enwiki	wiki
gadget--BugStatusUpdate	3	enwiki	wiki
gadget--CategoryAboveAll	1	enwiki	wiki
gadget--CommentsInLocalTime	10	enwiki	wiki
gadget--DRN-wizard	513	enwiki	wiki
gadget--DebugMode	2	enwiki	wiki
gadget--DejaVu_Sans	6	enwiki	wiki
gadget--DotsSyntaxHighlighter	5	enwiki	wiki
gadget--ExternalSearch	8	enwiki	wiki
gadget--GoogleTrans	13	enwiki	wiki
gadget--HideFundraisingNotice	16	enwiki	wiki
gadget--HotCat	512	enwiki	wiki
gadget--ImageAnnotator	8	enwiki	wiki
gadget--JSL	9	enwiki	wiki
gadget--MenuTabsToggle	4	enwiki	wiki
gadget--Navigation_popups	21	enwiki	wiki
gadget--NoAnimations	1	enwiki	wiki
gadget--NoSmallFonts	3	enwiki	wiki
gadget--OldDiff	2	enwiki	wiki
gadget--PrettyLog	2	enwiki	wiki
gadget--ProveIt	12	enwiki	wiki
gadget--RTRC	4	enwiki	wiki
gadget--ReferenceTooltips	513	enwiki	wiki
gadget--RegexMenuFramework	5	enwiki	wiki
gadget--ShowMessageNames	2	enwiki	wiki
gadget--Twinkle	21	enwiki	wiki
gadget--UTCLiveClock	19	enwiki	wiki
gadget--WatchlistChangesBold	10	enwiki	wiki
gadget--addsection-plus	7	enwiki	wiki
gadget--afchelper	5	enwiki	wiki
gadget--charinsert	514	enwiki	wiki
gadget--citations	13	enwiki	wiki
gadget--contribsrange	3	enwiki	wiki
gadget--defaultsummaries	13	enwiki	wiki
gadget--dropdown-menus	6	enwiki	wiki
gadget--edittop	23	enwiki	wiki
gadget--exlinks	14	enwiki	wiki
gadget--imagelinks	4	enwiki	wiki
gadget--metadata	15	enwiki	wiki
gadget--modrollback	7	enwiki	wiki
gadget--mySandbox	511	enwiki	wiki
gadget--purgetab	9	enwiki	wiki
gadget--removeAccessKeys	7	enwiki	wiki
gadget--revisionjumper	8	enwiki	wiki
gadget--righteditlinks	4	enwiki	wiki
gadget--search-new-tab	5	enwiki	wiki
gadget--searchFocus	9	enwiki	wiki
gadget--teahouse	509	enwiki	wiki
gadget--topalert	2	enwiki	wiki
gadget--widensearch	3	enwiki	wiki
gadget--wikEd	15	enwiki	wiki
gadget--wikEdDiff	6	enwiki	wiki
gadget-Blackskin	270458	enwiki	wiki
