preference	Wikis	Users
gadget-Abarabzar	1	539
gadget-abcsok-news-search	1	55
gadget-Accessibility	4	14898
gadget-AceWikiEditor	1	20
gadget-Achtergrondkleur	1	5563
gadget-aco	1	78
gadget--a-commons-directo	1	2
gadget-a-commons-directo	3	275
gadget-AddContribNumberInNewPage	1	6380
gadget-AddEditLinkToOldVersionLinks	2	140
gadget-AddInformation	3	150
gadget-AddMediaWizard	1	157
gadget-addNewSectionLink	1	71
gadget-addOButtonsToAdv	2	204
gadget-addOButtonsToMain	1	223
gadget-addon-buttonsformove	4	370
gadget-addon-fixes	2	129
gadget-addon-messages	2	125
gadget-addon-wikitext	2	125
gadget-Add-purge	4	5719
gadget--addsection-plus	1	7
gadget-addsection-plus	34	241724
gadget-addThisArticles	1	582
gadget-addThisMain	1	452
gadget-addViafData	2	54
gadget-adminseged	1	4089
gadget-AdvancedContribs	3	18959
gadget-AdvancedResearch	2	20501
gadget-Advanced_search	1	1
gadget-AdvancedSiteNotices	5	213
gadget-Advisor	1	911
gadget-advsearch	2	4779
gadget-Ae-to-Aelig	1	2
gadget-afchelper	2	1612
gadget--afchelper	1	5
gadget-AffMasLiens	1	875
gadget-AJAX-esikatselu	2	5285
gadget-AjaxMassRB	1	1
gadget-AjaxPatrol	2	9
gadget-AjaxPatrolLinks	6	442
gadget-ajaxPrev	1	70
gadget-ajaxPreview	1	488
gadget-ajaxQuickDelete	1	807
gadget-AjaxQuickDelete	1	487
gadget-ajaxRC	1	47
gadget-ajax-sysop	1	121
gadget-Ajax_Sysop	1	38
gadget-AjoutBoutonSource	3	23862
gadget-aka-edit-stats	1	2466
gadget-AldoniSekcion-plus	1	3
gadget-alex_brollo	1	3
gadget-alignEditsectionToRight	1	61
gadget-altindex	2	63
gadget-altsiisi	1	1
gadget-AncreTitres	7	16655
gadget-annotator	1	2
gadget-antivandal	2	12945
gadget-antivandaltool	1	459
gadget-APC	1	151
gadget-ArabicBasedKurdishKeyboard	1	1
gadget-Arborescences	1	5
gadget-ArgipenBila	1	10
gadget-articlefeedback	1	213
gadget-ArticleStatistik	2	523
gadget-ArticleTraffic	4	1089
gadget-ArtigosParaEliminar	1	216
gadget-asbox	2	457
gadget-asmenybe	1	50
gadget-assessortags	1	332
gadget-AtlasOff	2	21780
gadget-auteurForm	1	54
gadget-autocomplete	6	2637
gadget-Autocomplete	6	5525
gadget-autodel	8	3998
gadget-AutoEd	1	379
gadget-autoEdit	1	2
gadget-AutofocusRicerca	2	8
gadget-autoformat	1	151
gadget-AutohidePanel	1	28
gadget--AutoNav	1	1
gadget-AutoOldStyleVi	1	3
gadget-autoriSenzaOpere	1	4
gadget-autoSal0	1	4
gadget-autosight	3	62
gadget-Autosight	1	29
gadget-AutoWatchAdd	4	1608
gadget-AvertissementImage	2	17697
gadget-AVIM	3	37
gadget--AVIM	1	1
gadget--AVIM_portlet	1	1
gadget-AVIM_portlet	3	32
gadget-AYSA	1	27
gadget-background-awesomeness	1	264
gadget-BaglantiKontrolu	1	115
gadget-BandeauxEbauches	1	729
gadget-BandeauxPages	1	22
gadget-BandeauxPortails	4	2032
gadget-barbaforcuta	1	1
gadget-Barre_de_luxe	2	33
gadget-Base	4	14955
gadget-basic-Editbuttons	2	26
gadget-BDK	2	322
gadget-Bearbeiten-Link	2	61
gadget-Berichtbalk	1	521
gadget-betawiki	1	16
gadget-betterbottomtabs	2	3569
gadget-BetterPanel	1	77
gadget-bibsys-bibliography-searc	1	2470
gadget-bibsys-biblio-search	1	48
gadget-bibsys-litterature-search	1	2531
gadget-bibsys-source-search	1	2530
gadget-BiDi_buttons	1	160
gadget-BiDiEditing	18	16072
gadget-Big_dynamap	1	794
gadget-BKL	1	1758
gadget-bkl2-check	1	16
gadget-bkl-check	6	39548
gadget-Bkl-check	1	21
gadget-blackskin	2	30718
gadget-Blackskin	31	338872
gadget--Blackskin	1	2
gadget-blinktalk	6	48403
gadget-bloccaTools	1	5
gadget-Bloccomassivo	1	43
gadget-block	3	8804
gadget-BlockNotificationsButton	1	3
gadget-BlockOptions	1	9
gadget-blocktab	5	35023
gadget-Bloquear	1	1
gadget-bloquear-wpCreateAccount	1	1680
gadget-bluealertdismiss	1	1
gadget-bluealertfade	1	1
gadget--BookGadgets	1	1
gadget-BookGadgetsLinks	1	10
gadget-BookMaker	1	31
gadget-BookSearch	2	2238
gadget-BordiArrotondati	2	11854
gadget-BosOzet	1	77
gadget-BotExt	1	96
gadget-botonera	4	699
gadget-boton-purgar	2	23947
gadget-bottomalert	1	2
gadget-BottomSidebar	1	17
gadget-bottomtabs	7	40119
