"Database"	"Slave"	"Lang_Code"	"Project_Type"
"enwiki"	"s1-analytics-slave.eqiad.wmnet"	"en"	"wiki"
"bgwiki"	"s2-analytics-slave.eqiad.wmnet"	"bg"	"wiki"
"cswiki"	"s2-analytics-slave.eqiad.wmnet"	"cs"	"wiki"
"enwikiquote"	"s2-analytics-slave.eqiad.wmnet"	"en"	"wikiquote"
"eowiki"	"s2-analytics-slave.eqiad.wmnet"	"eo"	"wiki"
"fiwiki"	"s2-analytics-slave.eqiad.wmnet"	"fi"	"wiki"
"idwiki"	"s2-analytics-slave.eqiad.wmnet"	"id"	"wiki"
"itwiki"	"s2-analytics-slave.eqiad.wmnet"	"it"	"wiki"
"nlwiki"	"s2-analytics-slave.eqiad.wmnet"	"nl"	"wiki"
"nowiki"	"s2-analytics-slave.eqiad.wmnet"	"no"	"wiki"
"plwiki"	"s2-analytics-slave.eqiad.wmnet"	"pl"	"wiki"
"ptwiki"	"s2-analytics-slave.eqiad.wmnet"	"pt"	"wiki"
"svwiki"	"s2-analytics-slave.eqiad.wmnet"	"sv"	"wiki"
"thwiki"	"s2-analytics-slave.eqiad.wmnet"	"th"	"wiki"
"trwiki"	"s2-analytics-slave.eqiad.wmnet"	"tr"	"wiki"
"zhwiki"	"s2-analytics-slave.eqiad.wmnet"	"zh"	"wiki"
"aawiki"	"s3-analytics-slave.eqiad.wmnet"	"aa"	"wiki"
"aawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"aa"	"wikibooks"
"abwiki"	"s3-analytics-slave.eqiad.wmnet"	"ab"	"wiki"
"acewiki"	"s3-analytics-slave.eqiad.wmnet"	"ace"	"wiki"
"afwiki"	"s3-analytics-slave.eqiad.wmnet"	"af"	"wiki"
"afwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"af"	"wikibooks"
"afwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"af"	"wikiquote"
"akwiki"	"s3-analytics-slave.eqiad.wmnet"	"ak"	"wiki"
"akwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ak"	"wikibooks"
"alswiki"	"s3-analytics-slave.eqiad.wmnet"	"als"	"wiki"
"alswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"als"	"wikibooks"
"alswikiquote"	"s3-analytics-slave.eqiad.wmnet"	"als"	"wikiquote"
"amwiki"	"s3-analytics-slave.eqiad.wmnet"	"am"	"wiki"
"amwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"am"	"wikiquote"
"angwiki"	"s3-analytics-slave.eqiad.wmnet"	"ang"	"wiki"
"angwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ang"	"wikibooks"
"angwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ang"	"wikiquote"
"angwikisource"	"s3-analytics-slave.eqiad.wmnet"	"ang"	"wikisource"
"anwiki"	"s3-analytics-slave.eqiad.wmnet"	"an"	"wiki"
"arcwiki"	"s3-analytics-slave.eqiad.wmnet"	"arc"	"wiki"
"arwiki"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wiki"
"arwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wikibooks"
"arwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wikimedia"
"arwikinews"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wikinews"
"arwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wikiquote"
"arwikisource"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wikisource"
"arwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"ar"	"wikiversity"
"arzwiki"	"s3-analytics-slave.eqiad.wmnet"	"arz"	"wiki"
"astwiki"	"s3-analytics-slave.eqiad.wmnet"	"ast"	"wiki"
"astwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ast"	"wikibooks"
"astwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ast"	"wikiquote"
"aswiki"	"s3-analytics-slave.eqiad.wmnet"	"as"	"wiki"
"aswikibooks"	"s3-analytics-slave.eqiad.wmnet"	"as"	"wikibooks"
"aswikisource"	"s3-analytics-slave.eqiad.wmnet"	"as"	"wikisource"
"avwiki"	"s3-analytics-slave.eqiad.wmnet"	"av"	"wiki"
"aywiki"	"s3-analytics-slave.eqiad.wmnet"	"ay"	"wiki"
"aywikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ay"	"wikibooks"
"azwiki"	"s3-analytics-slave.eqiad.wmnet"	"az"	"wiki"
"azwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"az"	"wikibooks"
"azwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"az"	"wikiquote"
"azwikisource"	"s3-analytics-slave.eqiad.wmnet"	"az"	"wikisource"
"barwiki"	"s3-analytics-slave.eqiad.wmnet"	"bar"	"wiki"
"bat_smgwiki"	"s3-analytics-slave.eqiad.wmnet"	"bat-smg"	"wiki"
"bawiki"	"s3-analytics-slave.eqiad.wmnet"	"ba"	"wiki"
"bawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ba"	"wikibooks"
"bclwiki"	"s3-analytics-slave.eqiad.wmnet"	"bcl"	"wiki"
"bdwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"bd"	"wikimedia"
"bewiki"	"s3-analytics-slave.eqiad.wmnet"	"be"	"wiki"
"bewikibooks"	"s3-analytics-slave.eqiad.wmnet"	"be"	"wikibooks"
"bewikimedia"	"s3-analytics-slave.eqiad.wmnet"	"be"	"wikimedia"
"bewikiquote"	"s3-analytics-slave.eqiad.wmnet"	"be"	"wikiquote"
"bewikisource"	"s3-analytics-slave.eqiad.wmnet"	"be"	"wikisource"
"bgwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"bg"	"wikibooks"
"bgwikinews"	"s3-analytics-slave.eqiad.wmnet"	"bg"	"wikinews"
